{'time':'2021-03-03 17:19:39,640','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 4  0  1 13  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:19:44,819','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 13  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:19:50,154','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 13  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:19:55,349','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 13  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:20:00,545','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 13  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:20:05,703','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 13  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:20:11,231','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 2  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:20:16,458','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 2  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:20:21,784','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 1  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:20:27,079','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 2  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:20:32,229','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 2  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:20:37,820','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 1  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:20:43,247','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 1  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:20:48,448','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:20:53,616','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:20:59,213','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:21:05,461','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:21:10,654','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:21:15,942','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:21:21,128','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:21:26,369','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:21:32,109','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:21:37,978','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:21:45,444','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:21:50,639','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:21:55,858','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:22:01,031','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:22:06,222','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:22:11,418','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:22:16,624','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:22:21,774','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:22:26,916','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:22:32,062','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:22:37,255','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:22:42,444','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:22:47,776','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:22:52,955','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:22:58,138','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:23:03,304','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:23:08,486','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:23:13,675','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
{'time':'2021-03-03 17:23:18,863','message': {'done':'True', state':'[[  0 100 200  13 100 200]]', 'action': '[3]', 'next_state': '[[ 0  0  0 76  0  0]]', 'reward': '0'}}
