{'time':'2021-04-07 15:57:33,586','message': {'state':'[[  0  80 172  77  75 150]]', 'action': '14', 'next_state': '[[  0  80 172  77  75 150]]', 'reward': '-0.0069841269841269815'}}
{'time':'2021-04-07 15:57:38,754','message': {'state':'[[  0 100 215  77  75 150]]', 'action': '14', 'next_state': '[[  0 100 215  77  75 150]]', 'reward': '-0.0069841269841269815'}}
{'time':'2021-04-07 15:57:43,943','message': {'state':'[[  0  75 161  77  75 150]]', 'action': '35', 'next_state': '[[  0  75 161  77  75 150]]', 'reward': '-0.006647834274952857'}}
{'time':'2021-04-07 15:57:49,291','message': {'state':'[[  0  93 201  77  75 150]]', 'action': '14', 'next_state': '[[  0  93 201  77  75 150]]', 'reward': '-0.008117913832199508'}}
{'time':'2021-04-07 15:57:55,496','message': {'state':'[[  0  69 150  77  75 150]]', 'action': '35', 'next_state': '[[  0  69 150  77  75 150]]', 'reward': '-0.009375951293759455'}}
{'time':'2021-04-07 15:58:01,442','message': {'state':'[[  0  86 187  77  75 150]]', 'action': '14', 'next_state': '[[  0  86 187  77  75 150]]', 'reward': '-0.009426129426129415'}}
{'time':'2021-04-07 15:58:08,455','message': {'state':'[[  0  64 140  77  75 150]]', 'action': '35', 'next_state': '[[  0  64 140  77  75 150]]', 'reward': '-0.010718954248365997'}}
{'time':'2021-04-07 15:58:14,932','message': {'state':'[[  0  80 175  77  75 150]]', 'action': '14', 'next_state': '[[  0  80 175  77  75 150]]', 'reward': '-0.010718954248365997'}}
{'time':'2021-04-07 15:58:20,100','message': {'state':'[[  0  60 131  77  75 150]]', 'action': '35', 'next_state': '[[  0  60 131  77  75 150]]', 'reward': '-0.010308318789994164'}}
{'time':'2021-04-07 15:58:25,488','message': {'state':'[[  0  75 163  77  75 150]]', 'action': '14', 'next_state': '[[  0  75 163  77  75 150]]', 'reward': '-0.009318394024276366'}}
{'time':'2021-04-07 15:58:31,362','message': {'state':'[[  0  93 203  77  75 150]]', 'action': '14', 'next_state': '[[  0  93 203  77  75 150]]', 'reward': '-0.01025525525525528'}}
{'time':'2021-04-07 15:58:37,170','message': {'state':'[[  0  69 152  77  75 150]]', 'action': '35', 'next_state': '[[  0  69 152  77  75 150]]', 'reward': '-0.012227249874308677'}}
{'time':'2021-04-07 15:58:43,194','message': {'state':'[[  0  86 190  77  75 150]]', 'action': '14', 'next_state': '[[  0  86 190  77  75 150]]', 'reward': '-0.012850241545893648'}}
{'time':'2021-04-07 15:58:49,639','message': {'state':'[[  0  64 142  77  75 150]]', 'action': '35', 'next_state': '[[  0  64 142  77  75 150]]', 'reward': '-0.013764832793959014'}}
{'time':'2021-04-07 15:59:12,279','message': {'state':'[[  0  70 156  77  82 165]]', 'action': '8', 'next_state': '[[  0  70 156  77  82 165]]', 'reward': '-0.04654079036938835'}}
{'time':'2021-04-07 15:59:17,454','message': {'state':'[[  0  87 195  77  82 165]]', 'action': '14', 'next_state': '[[  0  87 195  77  82 165]]', 'reward': '-0.047764665345852386'}}
{'time':'2021-04-07 15:59:23,084','message': {'state':'[[  0  65 146  77  82 165]]', 'action': '35', 'next_state': '[[  0  65 146  77  82 165]]', 'reward': '-0.04821843160581002'}}
{'time':'2021-04-07 15:59:28,256','message': {'state':'[[  0  81 182  77  82 165]]', 'action': '14', 'next_state': '[[  0  81 182  77  82 165]]', 'reward': '-0.04829051276919999'}}
{'time':'2021-04-07 15:59:33,428','message': {'state':'[[  0 101 227  77  82 165]]', 'action': '14', 'next_state': '[[  0 101 227  77  82 165]]', 'reward': '-0.04834847437543194'}}
{'time':'2021-04-07 15:59:39,252','message': {'state':'[[  0  75 170  77  82 165]]', 'action': '35', 'next_state': '[[  0  75 170  77  82 165]]', 'reward': '-0.05015285466413283'}}
{'time':'2021-04-07 15:59:45,400','message': {'state':'[[  0  93 212  77  82 165]]', 'action': '14', 'next_state': '[[  0  93 212  77  82 165]]', 'reward': '-0.05135727085683944'}}
{'time':'2021-04-07 15:59:52,301','message': {'state':'[[  0  69 159  77  82 165]]', 'action': '35', 'next_state': '[[  0  69 159  77  82 165]]', 'reward': '-0.0536437246963562'}}
{'time':'2021-04-07 15:59:57,982','message': {'state':'[[  0  86 198  77  82 165]]', 'action': '14', 'next_state': '[[  0  86 198  77  82 165]]', 'reward': '-0.05345840223527393'}}
{'time':'2021-04-07 16:00:03,169','message': {'state':'[[  0  64 148  77  82 165]]', 'action': '35', 'next_state': '[[  0  64 148  77  82 165]]', 'reward': '-0.05438851119089444'}}
{'time':'2021-04-07 16:00:10,281','message': {'state':'[[  0  80 185  77  82 165]]', 'action': '14', 'next_state': '[[  0  80 185  77  82 165]]', 'reward': '-0.05438851119089444'}}
{'time':'2021-04-07 16:00:19,051','message': {'state':'[[  0 100 231  77  82 165]]', 'action': '14', 'next_state': '[[  0 100 231  77  82 165]]', 'reward': '-0.05416050001834699'}}
{'time':'2021-04-07 16:00:24,747','message': {'state':'[[  0  75 173  77  82 165]]', 'action': '35', 'next_state': '[[  0  75 173  77  82 165]]', 'reward': '-0.05385594880501504'}}
{'time':'2021-04-07 16:00:29,914','message': {'state':'[[  0  93 216  77  82 165]]', 'action': '14', 'next_state': '[[  0  93 216  77  82 165]]', 'reward': '-0.05530442985731693'}}
{'time':'2021-04-07 16:00:35,674','message': {'state':'[[  0  69 162  77  82 165]]', 'action': '35', 'next_state': '[[  0  69 162  77  82 165]]', 'reward': '-0.05757400494242598'}}
{'time':'2021-04-07 16:00:42,998','message': {'state':'[[  0  86 202  77  82 165]]', 'action': '14', 'next_state': '[[  0  86 202  77  82 165]]', 'reward': '-0.05766419253261351'}}
{'time':'2021-04-07 16:00:48,326','message': {'state':'[[  0  64 151  77  82 165]]', 'action': '35', 'next_state': '[[  0  64 151  77  82 165]]', 'reward': '-0.058600885039073514'}}
{'time':'2021-04-07 16:00:53,498','message': {'state':'[[  0  80 188  77  82 165]]', 'action': '14', 'next_state': '[[  0  80 188  77  82 165]]', 'reward': '-0.057767840957157535'}}
{'time':'2021-04-07 16:00:59,523','message': {'state':'[[  0 100 235  77  82 165]]', 'action': '14', 'next_state': '[[  0 100 235  77  82 165]]', 'reward': '-0.057767840957157535'}}
{'time':'2021-04-07 16:01:06,585','message': {'state':'[[  0  75 176  77  82 165]]', 'action': '35', 'next_state': '[[  0  75 176  77  82 165]]', 'reward': '-0.05747052276723069'}}
{'time':'2021-04-07 16:01:13,697','message': {'state':'[[  0  93 220  77  82 165]]', 'action': '14', 'next_state': '[[  0  93 220  77  82 165]]', 'reward': '-0.05915070300474706'}}
{'time':'2021-04-07 16:01:18,868','message': {'state':'[[  0  69 165  77  82 165]]', 'action': '35', 'next_state': '[[  0  69 165  77  82 165]]', 'reward': '-0.06140350877192985'}}
{'time':'2021-04-07 16:01:25,004','message': {'state':'[[  0  86 206  77  82 165]]', 'action': '14', 'next_state': '[[  0  86 206  77  82 165]]', 'reward': '-0.06175475569851924'}}
{'time':'2021-04-07 16:01:31,271','message': {'state':'[[  0  64 154  77  82 165]]', 'action': '35', 'next_state': '[[  0  64 154  77  82 165]]', 'reward': '-0.06269732199234851'}}
{'time':'2021-04-07 16:01:37,484','message': {'state':'[[  0  80 192  77  82 165]]', 'action': '14', 'next_state': '[[  0  80 192  77  82 165]]', 'reward': '-0.06215765658490119'}}
{'time':'2021-04-07 16:01:44,056','message': {'state':'[[  0 100 240  77  82 165]]', 'action': '14', 'next_state': '[[  0 100 240  77  82 165]]', 'reward': '-0.06215765658490119'}}
{'time':'2021-04-07 16:01:50,096','message': {'state':'[[  0  75 180  77  82 165]]', 'action': '35', 'next_state': '[[  0  75 180  77  82 165]]', 'reward': '-0.06215765658490119'}}
{'time':'2021-04-07 16:01:55,989','message': {'state':'[[  0  56 135  77 123 247]]', 'action': '38', 'next_state': '[[  0  56 135  77 123 247]]', 'reward': '-0.1662657421819726'}}
{'time':'2021-04-07 16:02:01,348','message': {'state':'[[  0  42 101  77 123 247]]', 'action': '35', 'next_state': '[[  0  42 101  77 123 247]]', 'reward': '-0.16575316575316573'}}
{'time':'2021-04-07 16:02:07,305','message': {'state':'[[  0  31  75  77 123 247]]', 'action': '35', 'next_state': '[[  0  31  75  77 123 247]]', 'reward': '-0.1670066292707802'}}
{'time':'2021-04-07 16:02:13,977','message': {'state':'[[  0  23  56  77 123 247]]', 'action': '35', 'next_state': '[[  0  23  56  77 123 247]]', 'reward': '-0.16832021895313037'}}
{'time':'2021-04-07 16:02:20,197','message': {'state':'[[  0  17  42  77 123 247]]', 'action': '35', 'next_state': '[[  0  17  42  77 123 247]]', 'reward': '-0.1713238662391205'}}
{'time':'2021-04-07 16:02:25,964','message': {'state':'[[  0  12  31  77 123 247]]', 'action': '35', 'next_state': '[[  0  12  31  77 123 247]]', 'reward': '-0.18038969201759897'}}
{'time':'2021-04-07 16:02:32,099','message': {'state':'[[  0   9  23  77 123 247]]', 'action': '35', 'next_state': '[[  0   9  23  77 123 247]]', 'reward': '-0.17820945945945948'}}
{'time':'2021-04-07 16:02:38,716','message': {'state':'[[  0   6  17  77 123 247]]', 'action': '35', 'next_state': '[[  0   6  17  77 123 247]]', 'reward': '-0.19858989424206813'}}
{'time':'2021-04-07 16:02:44,341','message': {'state':'[[  0   4  12  77 123 247]]', 'action': '35', 'next_state': '[[  0   4  12  77 123 247]]', 'reward': '-0.20945945945945948'}}
{'time':'2021-04-07 16:02:49,836','message': {'state':'[[  0   3   9  77 123 247]]', 'action': '35', 'next_state': '[[  0   3   9  77 123 247]]', 'reward': '-0.20945945945945948'}}
{'time':'2021-04-07 16:02:55,014','message': {'state':'[[  0   2   6  77 123 247]]', 'action': '35', 'next_state': '[[  0   2   6  77 123 247]]', 'reward': '-0.20945945945945948'}}
{'time':'2021-04-07 16:03:00,719','message': {'state':'[[  0   3   9  77 135 271]]', 'action': '22', 'next_state': '[[  0   3   9  77 135 271]]', 'reward': '-0.22783251231527096'}}
{'time':'2021-04-07 16:03:05,888','message': {'state':'[[  0   2   6  77 135 271]]', 'action': '35', 'next_state': '[[  0   2   6  77 135 271]]', 'reward': '-0.22783251231527096'}}
{'time':'2021-04-07 16:03:11,029','message': {'state':'[[  0   2   6  77 135 271]]', 'action': '7', 'next_state': '[[  0   2   6  77 135 271]]', 'reward': '-0.22783251231527096'}}
{'time':'2021-04-07 16:03:16,179','message': {'state':'[[  0   1   3  77 121 243]]', 'action': '46', 'next_state': '[[  0   1   3  77 121 243]]', 'reward': '-0.20604395604395603'}}
{'time':'2021-04-07 16:03:21,348','message': {'state':'[[  0   0   2  77 121 243]]', 'action': '35', 'next_state': '[[  0   0   2  77 121 243]]', 'reward': '-0.45604395604395603'}}
{'time':'2021-04-07 16:03:26,519','message': {'state':'[[  0   0   1  77 121 243]]', 'action': '35', 'next_state': '[[  0   0   1  77 121 243]]', 'reward': '-0.45604395604395603'}}
{'time':'2021-04-07 16:03:31,695','message': {'state':'[[  0   0   0  77 121 243]]', 'action': '35', 'next_state': '[[  0   0   0  77 121 243]]', 'reward': '0'}}
{'time':'2021-04-07 16:03:31,695','message': {'Steps': '91', 'Total Reward': '-5.697919405209433'}}
{'time':'2021-04-07 16:03:38,142','message': {'state':'[[  0  75 150  77 100 200]]', 'action': '35', 'next_state': '[[  0  75 150  77 100 200]]', 'reward': '-0.0766666666666666'}}
{'time':'2021-04-07 16:03:43,665','message': {'state':'[[  0  93 187  77 100 200]]', 'action': '14', 'next_state': '[[  0  93 187  77 100 200]]', 'reward': '-0.07785714285714279'}}
{'time':'2021-04-07 16:03:48,876','message': {'state':'[[  0  69 140  77 100 200]]', 'action': '35', 'next_state': '[[  0  69 140  77 100 200]]', 'reward': '-0.07985645933014357'}}
{'time':'2021-04-07 16:03:55,167','message': {'state':'[[  0  86 175  77 100 200]]', 'action': '14', 'next_state': '[[  0  86 175  77 100 200]]', 'reward': '-0.08049808429118771'}}
{'time':'2021-04-07 16:04:00,507','message': {'state':'[[  2  77 157  77 150 300]]', 'action': '31', 'next_state': '[[  2  77 157  77 150 300]]', 'reward': '-0.15794871794871795'}}
{'time':'2021-04-07 16:04:06,205','message': {'state':'[[  0  57 117  77 150 300]]', 'action': '35', 'next_state': '[[  0  57 117  77 150 300]]', 'reward': '-0.16796934865900387'}}
{'time':'2021-04-07 16:04:11,378','message': {'state':'[[  0  42  87  77 150 300]]', 'action': '35', 'next_state': '[[  0  42  87  77 150 300]]', 'reward': '-0.16997416020671835'}}
{'time':'2021-04-07 16:04:16,555','message': {'state':'[[  0  31  65  77 150 300]]', 'action': '35', 'next_state': '[[  0  31  65  77 150 300]]', 'reward': '-0.17263888888888895'}}
{'time':'2021-04-07 16:04:21,732','message': {'state':'[[  0  23  48  77 150 300]]', 'action': '35', 'next_state': '[[  0  23  48  77 150 300]]', 'reward': '-0.17161189358372458'}}
{'time':'2021-04-07 16:04:26,908','message': {'state':'[[  0  17  36  77 150 300]]', 'action': '35', 'next_state': '[[  0  17  36  77 150 300]]', 'reward': '-0.17480083857442347'}}
{'time':'2021-04-07 16:04:32,081','message': {'state':'[[  2  12  27  77 150 300]]', 'action': '35', 'next_state': '[[  2  12  27  77 150 300]]', 'reward': '-0.13658119658119666'}}
{'time':'2021-04-07 16:04:37,257','message': {'state':'[[  2   9  20  77 150 300]]', 'action': '35', 'next_state': '[[  2   9  20  77 150 300]]', 'reward': '-0.1162452107279694'}}
{'time':'2021-04-07 16:04:42,432','message': {'state':'[[  0   6  15  77 150 300]]', 'action': '35', 'next_state': '[[  0   6  15  77 150 300]]', 'reward': '-0.20984126984126988'}}
{'time':'2021-04-07 16:04:47,604','message': {'state':'[[  0   4  11  77 150 300]]', 'action': '35', 'next_state': '[[  0   4  11  77 150 300]]', 'reward': '-0.22888888888888886'}}
{'time':'2021-04-07 16:04:52,786','message': {'state':'[[  0   5  13  77 150 300]]', 'action': '14', 'next_state': '[[  0   5  13  77 150 300]]', 'reward': '-0.2177777777777778'}}
{'time':'2021-04-07 16:04:57,958','message': {'state':'[[  0   6  16  77 150 300]]', 'action': '14', 'next_state': '[[  0   6  16  77 150 300]]', 'reward': '-0.22282828282828288'}}
{'time':'2021-04-07 16:05:03,134','message': {'state':'[[  0   4  12  77 150 300]]', 'action': '35', 'next_state': '[[  0   4  12  77 150 300]]', 'reward': '-0.24555555555555558'}}
{'time':'2021-04-07 16:05:08,284','message': {'state':'[[  0   4  12  77 225 450]]', 'action': '3', 'next_state': '[[  0   4  12  77 225 450]]', 'reward': '-0.30259259259259264'}}
{'time':'2021-04-07 16:05:13,585','message': {'state':'[[  0   5  15  77 225 450]]', 'action': '14', 'next_state': '[[  0   5  15  77 225 450]]', 'reward': '-0.30259259259259264'}}
{'time':'2021-04-07 16:05:18,755','message': {'state':'[[  0   6  18  77 225 450]]', 'action': '14', 'next_state': '[[  0   6  18  77 225 450]]', 'reward': '-0.30259259259259264'}}
{'time':'2021-04-07 16:05:23,933','message': {'state':'[[  0   7  22  77 225 450]]', 'action': '14', 'next_state': '[[  0   7  22  77 225 450]]', 'reward': '-0.311213282247765'}}
{'time':'2021-04-07 16:05:29,106','message': {'state':'[[  0   8  27  77 225 450]]', 'action': '14', 'next_state': '[[  0   8  27  77 225 450]]', 'reward': '-0.3240211640211641'}}
{'time':'2021-04-07 16:05:34,305','message': {'state':'[[  0  10  33  77 225 450]]', 'action': '14', 'next_state': '[[  0  10  33  77 225 450]]', 'reward': '-0.32003445305770895'}}
{'time':'2021-04-07 16:05:39,477','message': {'state':'[[  0  12  41  77 225 450]]', 'action': '14', 'next_state': '[[  0  12  41  77 225 450]]', 'reward': '-0.32617749825297004'}}
{'time':'2021-04-07 16:05:44,657','message': {'state':'[[  0  15  51  77 225 450]]', 'action': '14', 'next_state': '[[  0  15  51  77 225 450]]', 'reward': '-0.32531986531986534'}}
{'time':'2021-04-07 16:05:49,951','message': {'state':'[[  0  11  38  77 225 450]]', 'action': '35', 'next_state': '[[  0  11  38  77 225 450]]', 'reward': '-0.32810279667422526'}}
{'time':'2021-04-07 16:05:55,121','message': {'state':'[[  0  13  47  77 225 450]]', 'action': '14', 'next_state': '[[  0  13  47  77 225 450]]', 'reward': '-0.33592592592592596'}}
{'time':'2021-04-07 16:06:00,354','message': {'state':'[[  0   9  35  77 225 450]]', 'action': '35', 'next_state': '[[  0   9  35  77 225 450]]', 'reward': '-0.34804713804713805'}}
{'time':'2021-04-07 16:06:05,526','message': {'state':'[[  0  11  43  77 225 450]]', 'action': '14', 'next_state': '[[  0  11  43  77 225 450]]', 'reward': '-0.3488888888888889'}}
{'time':'2021-04-07 16:06:10,715','message': {'state':'[[  0   8  32  77 225 450]]', 'action': '35', 'next_state': '[[  0   8  32  77 225 450]]', 'reward': '-0.3525925925925927'}}
{'time':'2021-04-07 16:06:15,887','message': {'state':'[[  0  10  40  77 225 450]]', 'action': '14', 'next_state': '[[  0  10  40  77 225 450]]', 'reward': '-0.3525925925925927'}}
{'time':'2021-04-07 16:06:21,059','message': {'state':'[[  0  12  50  77 225 450]]', 'action': '14', 'next_state': '[[  0  12  50  77 225 450]]', 'reward': '-0.3590442054958184'}}
{'time':'2021-04-07 16:06:26,235','message': {'state':'[[  0   9  37  77 225 450]]', 'action': '35', 'next_state': '[[  0   9  37  77 225 450]]', 'reward': '-0.3569404186795492'}}
{'time':'2021-04-07 16:06:31,417','message': {'state':'[[  0  11  46  77 225 450]]', 'action': '14', 'next_state': '[[  0  11  46  77 225 450]]', 'reward': '-0.3596101364522417'}}
{'time':'2021-04-07 16:06:36,591','message': {'state':'[[  0   8  34  77 225 450]]', 'action': '35', 'next_state': '[[  0   8  34  77 225 450]]', 'reward': '-0.36211640211640217'}}
{'time':'2021-04-07 16:06:41,761','message': {'state':'[[  0  10  42  77 225 450]]', 'action': '14', 'next_state': '[[  0  10  42  77 225 450]]', 'reward': '-0.36028490028490034'}}
{'time':'2021-04-07 16:06:46,948','message': {'state':'[[  0  12  52  77 225 450]]', 'action': '14', 'next_state': '[[  0  12  52  77 225 450]]', 'reward': '-0.36509259259259264'}}
{'time':'2021-04-07 16:06:52,119','message': {'state':'[[  0   9  39  77 225 450]]', 'action': '35', 'next_state': '[[  0   9  39  77 225 450]]', 'reward': '-0.36509259259259264'}}
{'time':'2021-04-07 16:06:57,297','message': {'state':'[[  0  11  48  77 225 450]]', 'action': '14', 'next_state': '[[  0  11  48  77 225 450]]', 'reward': '-0.366151914626491'}}
{'time':'2021-04-07 16:07:03,434','message': {'state':'[[  0   8  36  77 225 450]]', 'action': '35', 'next_state': '[[  0   8  36  77 225 450]]', 'reward': '-0.37077441077441087'}}
{'time':'2021-04-07 16:07:08,844','message': {'state':'[[  0  10  45  77 225 450]]', 'action': '14', 'next_state': '[[  0  10  45  77 225 450]]', 'reward': '-0.37077441077441087'}}
{'time':'2021-04-07 16:07:14,025','message': {'state':'[[  0   7  33  77 225 450]]', 'action': '35', 'next_state': '[[  0   7  33  77 225 450]]', 'reward': '-0.3775925925925926'}}
{'time':'2021-04-07 16:07:19,209','message': {'state':'[[  0   8  41  77 225 450]]', 'action': '14', 'next_state': '[[  0   8  41  77 225 450]]', 'reward': '-0.3893272864701437'}}
{'time':'2021-04-07 16:07:24,387','message': {'state':'[[  0  10  51  77 225 450]]', 'action': '14', 'next_state': '[[  0  10  51  77 225 450]]', 'reward': '-0.3886581663630845'}}
{'time':'2021-04-07 16:07:29,564','message': {'state':'[[  0   7  38  77 225 450]]', 'action': '35', 'next_state': '[[  0   7  38  77 225 450]]', 'reward': '-0.3970370370370371'}}
{'time':'2021-04-07 16:07:34,738','message': {'state':'[[  0   8  47  77 225 450]]', 'action': '14', 'next_state': '[[  0   8  47  77 225 450]]', 'reward': '-0.40713804713804713'}}
{'time':'2021-04-07 16:07:39,881','message': {'state':'[[  0  12  70  77 112 225]]', 'action': '27', 'next_state': '[[  0  12  70  77 112 225]]', 'reward': '-0.2928276760512412'}}
{'time':'2021-04-07 16:07:45,769','message': {'state':'[[  0   9  52  13 112 225]]', 'action': '35', 'next_state': '[[  0   9  52  13 112 225]]', 'reward': '-0.48153913508780455'}}
