{'time':'2021-02-18 16:08:35,997','message': {'state':'[[   0    9   20   77 1117 2323]]', 'action': '18', 'next_state': '[[   0    9   20   77 1228 2555]]', 'reward': '-0.3427759128588066'}}
{'time':'2021-02-18 16:08:35,998','message': {'episode': '0/1000', 'score': '34', 'e': '0.1'}}
{'time':'2021-02-18 16:08:35,998','message': {'Steps': '34', 'Episode': '0', 'Total Reward': '-6.393328388281154'}}
{'time':'2021-02-18 16:08:41,771','message': {'state':'[[  0 100 200  77 100 200]]', 'action': '18', 'next_state': '[[  0 100 200  77 110 220]]', 'reward': '-0.15000000000000002'}}
{'time':'2021-02-18 16:08:47,140','message': {'state':'[[  0 100 200  77 110 220]]', 'action': '18', 'next_state': '[[  0 100 200  77 121 242]]', 'reward': '-0.18181818181818182'}}
{'time':'2021-02-18 16:08:52,415','message': {'state':'[[  0 100 200  77 121 242]]', 'action': '18', 'next_state': '[[  0 100 200  77 133 266]]', 'reward': '-0.21052631578947367'}}
{'time':'2021-02-18 16:09:01,936','message': {'state':'[[  0 100 200  77 133 266]]', 'action': '18', 'next_state': '[[  0 100 200  77 146 292]]', 'reward': '-0.2363013698630137'}}
{'time':'2021-02-18 16:09:07,773','message': {'state':'[[  0 100 200  77 146 292]]', 'action': '18', 'next_state': '[[  0 100 200  77 160 321]]', 'reward': '-0.2577639751552795'}}
{'time':'2021-02-18 16:09:28,442','message': {'state':'[[  0 100 200  77 160 321]]', 'action': '18', 'next_state': '[[  3 100 200  77 176 353]]', 'reward': '-0.26466101694915256'}}
{'time':'2021-02-18 16:09:33,714','message': {'state':'[[  3 100 200  77 176 353]]', 'action': '18', 'next_state': '[[  2 100 200  77 193 388]]', 'reward': '-0.2874358974358975'}}
{'time':'2021-02-18 16:09:38,886','message': {'state':'[[  2 100 200  77 193 388]]', 'action': '18', 'next_state': '[[  2 100 200  77 212 426]]', 'reward': '-0.30542056074766355'}}
{'time':'2021-02-18 16:09:44,068','message': {'state':'[[  2 100 200  77 212 426]]', 'action': '18', 'next_state': '[[  2 100 200  77 233 468]]', 'reward': '-0.3219148936170213'}}
{'time':'2021-02-18 16:09:49,221','message': {'state':'[[  2 100 200  77 233 468]]', 'action': '1', 'next_state': '[[  2 100 200  77 291 585]]', 'reward': '-0.35394557823129247'}}
{'time':'2021-02-18 16:09:54,392','message': {'state':'[[  2 100 200  77 291 585]]', 'action': '18', 'next_state': '[[  2 100 200  77 320 643]]', 'reward': '-0.3661609907120743'}}
{'time':'2021-02-18 16:09:59,567','message': {'state':'[[  2 100 200  77 320 643]]', 'action': '18', 'next_state': '[[  0 100 200  77 352 707]]', 'reward': '-0.38732394366197187'}}
{'time':'2021-02-18 16:10:04,799','message': {'state':'[[  0 100 200  77 352 707]]', 'action': '18', 'next_state': '[[  2 100 200  77 387 777]]', 'reward': '-0.38743589743589746'}}
{'time':'2021-02-18 16:10:10,053','message': {'state':'[[  2 100 200  77 387 777]]', 'action': '18', 'next_state': '[[  2 100 200  77 425 854]]', 'reward': '-0.3955944055944056'}}
{'time':'2021-02-18 16:10:15,230','message': {'state':'[[  2 100 200  77 425 854]]', 'action': '18', 'next_state': '[[  2 100 200  77 467 939]]', 'reward': '-0.403135593220339'}}
{'time':'2021-02-18 16:10:20,404','message': {'state':'[[  2 100 200  77 467 939]]', 'action': '18', 'next_state': '[[   0  100  200   77  513 1032]]', 'reward': '-0.4200385356454721'}}
{'time':'2021-02-18 16:10:25,578','message': {'state':'[[   0  100  200   77  513 1032]]', 'action': '18', 'next_state': '[[   0  100  200   77  564 1135]]', 'reward': '-0.4264448336252189'}}
