46,2             
200,2             
201,2             
201,2             
199,2             
200,2             
200,2             
200,2             
200,2             
200,2             
200,2             
200,2             
201,2             
200,2             
200,2             
200,2             
201,2             
200,2             
200,2             
200,2             
199,2             
201,2             
200,2             
199,2             
200,2             
200,2             
200,2             
199,2             
200,2             
200,2             
201,2             
200,2             
201,2             
200,2             
200,2             
201,2             
200,2             
200,2             
199,2             
189,2             
199,2             
201,2             
200,2             
200,2             
200,2             
200,3             
201,4             
201,4             
201,4             
200,4             
201,4             
200,4             
199,4             
202,4             
198,3             
199,4             
200,4             
200,4             
200,3             
199,4             
199,3             
199,4             
200,4             
200,4             
199,4             
200,3             
200,3             
200,4             
200,3             
200,4             
200,3             
200,3             
201,3             
199,3             
200,3             
199,3             
200,3             
199,3             
201,3             
201,3             
200,3             
199,3             
200,3             
200,3             
193,3             
200,3             
199,3             
200,3             
198,2             
199,2             
194,2             
199,2             
197,2             
